0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
0,01;0,015709255;0,014142843;0,013604055;0,013333827;0,013171985;0,013064379;0,012987719;0,012930358;0,012885835;0,012850279;0,012821233;0,01279706;0,012776629;0,012759136;0,012743989;0,012730746;0,01271907;0,012708698;0,012699423;0,012691081;0,012683536;0,012676681;0,012670425;0,012664692;0,012659419;0,012654554;0,012650051;0,012645871;0,01264198;0,012638349;0,012634953;0,01263177;0,012628781;0,012625968;0,012623317;0,012620813;0,012618445;0,012616202;0,012614074;0,012612053;0,012610131;0,012608301;0,012606556;0,01260489;0,012603299;0,012601777;0,01260032;0,012598924;0,012597585;0,0125963;0,012595065;0,012593878;0,012592735;0,012591635;0,012590575;0,012589553;0,012588567;0,012587616;0,012586696;0,012585807
0,02;0,031426266;0,02828993;0,027211467;0,026670618;0,026346712;0,02613136;0,025977942;0,025863148;0,025774048;0,025702893;0,025644765;0,02559639;0,025555506;0,025520498;0,025490186;0,025463685;0,025440319;0,025419563;0,025401003;0,025384308;0,025369211;0,025355493;0,025342972;0,0253315;0,025320949;0,025311214;0,025302202;0,025293836;0,02528605;0,025278784;0,025271989;0,02526562;0,025259638;0,025254009;0,025248703;0,025243693;0,025238954;0,025234465;0,025230208;0,025226163;0,025222317;0,025218654;0,025215162;0,025211829;0,025208645;0,025205599;0,025202684;0,02519989;0,02519721;0,025194638;0,025192167;0,025189791;0,025187505;0,025185304;0,025183183;0,025181138;0,025179165;0,02517726;0,02517542;0,025173641
0,03;0,047158803;0,042445512;0,040825599;0,040013341;0,039526929;0,039203548;0,038973176;0,038800807;0,038667019;0,038560179;0,0384729;0,038400265;0,038338877;0,038286314;0,038240802;0,038201012;0,038165928;0,038134764;0,038106898;0,038081831;0,038059164;0,038038567;0,038019768;0,038002543;0,037986702;0,037972085;0,037958554;0,037945994;0,037934303;0,037923394;0,037913192;0,037903629;0,037894648;0,037886197;0,03787823;0,037870708;0,037863593;0,037856854;0,037850461;0,037844389;0,037838614;0,037833115;0,037827872;0,037822868;0,037818087;0,037813514;0,037809137;0,037804942;0,037800919;0,037797057;0,037793347;0,03778978;0,037786348;0,037783043;0,037779859;0,037776788;0,037773826;0,037770966;0,037768203;0,037765533
0,04;0,062914667;0,056613852;0,054449823;0,053364971;0,052715389;0,052283554;0,051975935;0,051745775;0,051567135;0,05142448;0,051307944;0,051210963;0,051128999;0,051058819;0,050998053;0,050944926;0,050898085;0,050856477;0,050819271;0,050785804;0,05075554;0,050728041;0,050702943;0,050679946;0,050658796;0,05063928;0,050621215;0,050604446;0,050588837;0,050574273;0,050560652;0,050547885;0,050535894;0,050524611;0,050513975;0,050503932;0,050494433;0,050485435;0,050476901;0,050468794;0,050461084;0,050453742;0,050446742;0,050440061;0,050433678;0,050427573;0,050421729;0,050416129;0,050410758;0,050405602;0,050400649;0,050395886;0,050391304;0,050386892;0,050382641;0,050378542;0,050374587;0,050370769;0,05036708;0,050363515
0,05;0,078701707;0,070799233;0,068087523;0,066728495;0,065914855;0,065374001;0,064988742;0,064700503;0,06447679;0,064298146;0,064152213;0,06403077;0,063928134;0,063840253;0,063764161;0,063697637;0,063638984;0,063586882;0,063540294;0,063498389;0,063460494;0,063426059;0,063394633;0,063365838;0,063339355;0,063314918;0,063292299;0,063271301;0,063251757;0,063233521;0,063216466;0,06320048;0,063185466;0,063171338;0,063158021;0,063145445;0,063133551;0,063122286;0,063111599;0,063101449;0,063091794;0,063082601;0,063073837;0,063065472;0,06305748;0,063049836;0,063042518;0,063035506;0,063028781;0,063022325;0,063016124;0,063010161;0,063004424;0,062998899;0,062993576;0,062988444;0,062983492;0,062978711;0,062974092;0,062969628
0,06;0,094527831;0,085005962;0,081742102;0,080106915;0,079128105;0,078477521;0,07801413;0,077667452;0,077398391;0,077183541;0,077008035;0,076861984;0,076738553;0,076632868;0,076541362;0,076461362;0,076390827;0,076328173;0,076272149;0,076221756;0,076176185;0,076134777;0,076096987;0,076062359;0,076030514;0,076001128;0,075973928;0,075948679;0,075925177;0,075903248;0,075882739;0,075863516;0,075845462;0,075828474;0,07581246;0,075797338;0,075783036;0,075769489;0,075756639;0,075744433;0,075732824;0,07572177;0,075711231;0,075701172;0,075691562;0,07568237;0,075673571;0,075665139;0,075657052;0,07564929;0,075641832;0,075634662;0,075627763;0,07562112;0,07561472;0,075608548;0,075602593;0,075596845;0,075591291;0,075585923
0,07;0,110401028;0,099238382;0,095416989;0,093503253;0,092357934;0,091596765;0,091054651;0,090649098;0,090334358;0,09008304;0,08987775;0,089706916;0,089562543;0,089438929;0,0893319;0,089238331;0,089155833;0,089082553;0,089017027;0,088958088;0,08890479;0,088856361;0,088812163;0,088771664;0,088734419;0,088700051;0,088668239;0,088638709;0,088611223;0,088585576;0,08856159;0,088539108;0,088517994;0,088498126;0,088479397;0,088461711;0,088444985;0,088429141;0,088414113;0,088399838;0,088386261;0,088373333;0,088361008;0,088349244;0,088338005;0,088327255;0,088316964;0,088307103;0,088297646;0,088288567;0,088279846;0,088271461;0,088263392;0,088255624;0,088248138;0,088240921;0,088233957;0,088227234;0,088220739;0,088214461
0,08;0,126329378;0,113500871;0,109115636;0,106920554;0,105607157;0,104734402;0,104112871;0,103647936;0,103287128;0,102999035;0,102763713;0,102567892;0,102402405;0,102260716;0,102138039;0,10203079;0,101936233;0,101852241;0,101777138;0,101709585;0,101648498;0,101592992;0,101542334;0,101495918;0,101453231;0,101413841;0,101377382;0,101343537;0,101312035;0,101282641;0,101255151;0,101229385;0,101205186;0,101182415;0,10116095;0,101140681;0,101121511;0,101103353;0,10108613;0,101069769;0,10105421;0,101039393;0,101025267;0,101011786;0,100998905;0,100986585;0,100974791;0,10096349;0,100952651;0,100942246;0,100932251;0,100922641;0,100913395;0,100904491;0,100895912;0,100887641;0,10087966;0,100871955;0,100864511;0,100857316
0,09;0,142321076;0,127797854;0,122841531;0,120361891;0,118878614;0,117893125;0,117191381;0,116666481;0,116259159;0,11593394;0,115668301;0,115447258;0,11526046;0,115100528;0,114962058;0,114841004;0,114734276;0,114639475;0,114554708;0,114478463;0,114409516;0,114346868;0,114289694;0,114237306;0,114189127;0,114144671;0,114103522;0,114065324;0,11402977;0,113996596;0,11396557;0,11393649;0,113909179;0,11388348;0,113859255;0,113836379;0,113814744;0,113794252;0,113774813;0,113756349;0,113738789;0,113722067;0,113706125;0,11369091;0,113676373;0,113662469;0,113649159;0,113636404;0,113624172;0,11361243;0,113601149;0,113590304;0,113579869;0,113569821;0,113560139;0,113550804;0,113541797;0,113533101;0,113524701;0,113516581
0,1;0,15838444;0,142133811;0,136598199;0,133830367;0,132175175;0,131075653;0,130292797;0,129707272;0,129252932;0,128890189;0,128593911;0,128347381;0,12813905;0,127960685;0,127806258;0,127671257;0,127552234;0,127446513;0,127351983;0,127266957;0,12719007;0,127120209;0,127056451;0,126998032;0,126944307;0,126894733;0,126848847;0,126806251;0,126766606;0,126729613;0,126695016;0,12666259;0,126632135;0,126603479;0,126576465;0,126550957;0,126526833;0,126503982;0,126482307;0,126461718;0,126442137;0,126423491;0,126405715;0,126388749;0,126372539;0,126357036;0,126342194;0,126327973;0,126314333;0,12630124;0,126288662;0,126276569;0,126264933;0,126253729;0,126242933;0,126232524;0,126222481;0,126212785;0,126203418;0,126194364
